"filename", "language", "C++", "CMakeCache", "JSON", "TypeScript", "CMake", "YAML", "comment", "blank", "total"
"/home/xiaojiang/DEV/SparkPlayer/widgets/MediaBox.h", "C++", 32, 0, 0, 0, 0, 0, 0, 17, 49
"/home/xiaojiang/DEV/SparkPlayer/widgets/MediaListButton.cpp", "C++", 65, 0, 0, 0, 0, 0, 1, 18, 84
"/home/xiaojiang/DEV/SparkPlayer/widgets/MediaListButton.h", "C++", 26, 0, 0, 0, 0, 0, 1, 10, 37
"/home/xiaojiang/DEV/SparkPlayer/widgets/PlayListBox.cpp", "C++", 45, 0, 0, 0, 0, 0, 1, 10, 56
"/home/xiaojiang/DEV/SparkPlayer/widgets/PlayListBox.h", "C++", 19, 0, 0, 0, 0, 0, 0, 8, 27
"/home/xiaojiang/DEV/SparkPlayer/widgets/PlayListButton.cpp", "C++", 67, 0, 0, 0, 0, 0, 0, 16, 83
"/home/xiaojiang/DEV/SparkPlayer/widgets/PlayListButton.h", "C++", 23, 0, 0, 0, 0, 0, 2, 11, 36
"/home/xiaojiang/DEV/SparkPlayer/widgets/TimeLine.cpp", "C++", 111, 0, 0, 0, 0, 0, 4, 15, 130
"/home/xiaojiang/DEV/SparkPlayer/widgets/TimeLine.h", "C++", 24, 0, 0, 0, 0, 0, 0, 9, 33
"/home/xiaojiang/DEV/SparkPlayer/widgets/TitleBar.cpp", "C++", 39, 0, 0, 0, 0, 0, 0, 9, 48
"/home/xiaojiang/DEV/SparkPlayer/widgets/TitleBar.h", "C++", 18, 0, 0, 0, 0, 0, 0, 10, 28
"/home/xiaojiang/DEV/SparkPlayer/widgets/VideoBox.cpp", "C++", 58, 0, 0, 0, 0, 0, 8, 10, 76
"/home/xiaojiang/DEV/SparkPlayer/widgets/VideoBox.h", "C++", 24, 0, 0, 0, 0, 0, 0, 10, 34
"/home/xiaojiang/DEV/SparkPlayer/widgets/VolumeBox.cpp", "C++", 116, 0, 0, 0, 0, 0, 0, 16, 132
"/home/xiaojiang/DEV/SparkPlayer/widgets/VolumeBox.h", "C++", 35, 0, 0, 0, 0, 0, 1, 17, 53
"Total", "-", 4129, 509, 5138, 29, 525, 282, 442, 1017, 12071
